strasse;lat;lon
Agnesstrasse_36;47.37852471;8.51298242
AmOeschbrig_43;47.35832108;8.59886902
Armin_Bollinger_Weg;47.4143971;8.5379762
Attenhoferstrasse_36;47.37262359;8.5595432
Ausserdorfstrasse_9;47.425041;8.545794
Bachtobelstrasse_262;47.3555993;8.5041789
Baendlistrasse_30;47.395931;8.487239
Baumackerstrasse_vav35;47.40895107;8.54398475
Bellariastrasse_49;47.35074461;8.5303462
Conrad-Ferdinand-Meyerstrasse;47.35877465;8.53327771
Culmannstrasse_1;47.37953002;8.54713006
Drusbergstrasse;47.3546151;8.58390173
Eidmattstrasse_51;47.3655418;8.56133823
Feldblumenstrasse_14;47.387641;8.481884
Feldstrasse_vav54;47.37677748;8.52182526
Fellenbergstrasse_179;47.373681;8.499632
Ferdinand_Hodler_Strasse_14;47.404426;8.500616
Floessergasse;47.369614;8.53189852
Freiestrasse_155;47.36366432;8.56251979
Freudenbergstrasse_71;47.382541;8.55787
Frohalpstrasse_48;47.3420309;8.5244248
Geibelstrasse_16;47.39517031;8.52845595
Girhaldenstrasse_53;47.38696248;8.47639336
Gubelstrasse_33;47.40849242;8.54360655
Gutstrasse_206;47.37516491;8.50194125
Hagenbuchrain_25;47.37133124;8.48455965
Haldenstrasse_20;47.36364647;8.51778107
Hammerstrasse_96;47.35961999;8.56656779
Haumesserstrasse_26;47.34784423;8.53165225
Heinrichstrasse_227;47.3883806;8.52331837
Hoehenring_65;47.42080103;8.53989324
Holzwiesweg_17;47.37733323;8.49661326
Huttenstrasse_14;47.38231218;8.54907861
Im_Maas_6;47.402096;8.503643
Jungholzstrasse_35;47.41506329;8.54417169
Kalchbuehlstrasse_118;47.33480653;8.53456929
Kanzleistrasse_95;47.37606515;8.52281697
Kilchbergstrasse_74;47.33892166;8.53559422
Klebestrasse_8;47.32590469;8.51322787
Koeschenruetistrasse_116;47.4271845;8.5371097
Kuerbergstrasse_5;47.39932417;8.50632151
Kurfirstenstrasse_76;47.35233308;8.52824141
Letzigraben_219;47.37195546;8.49392553
Luegislandstrasse_263/295;47.40896685;8.57472875
Marchwartstrasse_67/69;47.33566727;8.52713712
Moosstrasse_74;47.3356762;8.5286753
Morgentalstrasse_30;47.34409981;8.52775521
Muehlackerstrasse_65;47.4240706;8.5034841
Nordstrasse_172;47.39196538;8.53184493
Pflanzschulstrasse_49;47.37655752;8.52036582
Rainstrasse_78;47.34559041;8.52627727
Riedgrabenweg_57;47.40933039;8.55866567
Roeslistrasse_29;47.38941029;8.54310706
Rossackerstrasse_88;47.36914677;8.48984281
Scheideggstrasse_61;47.3545662;8.52946457
Scheuchzerstrasse_290;47.3964032;8.5432144
Schulhausstrasse_6a;47.36123754;8.53036458
Schwellistrasse_vav31;47.424925;8.539144
Sonneggstrasse_30;47.38016164;8.5464213
Sonnenbergstrasse_107;47.37089378;8.57017805
Speerstrasse_19;47.34252406;8.52635414
Staubstrasse_27;47.36751571;8.51987979
Stuessistrasse_102;47.39592385;8.5418518
Thujastrasse_28;47.34856347;8.52530791
Toblerstrasse;47.38030448;8.5572484
Tulpenstrasse_26;47.40521341;8.56652749
Ueberlandstrasse_483;47.405285;8.593906
Venusstrasse_14;47.4058609;8.5429982
Wehrenbachhalde_vav18;47.35679531;8.57859723
Wolfswinkel_9;47.42403094;8.51320918
Zollikerstrasse_184;47.35196034;8.56286264
